what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1542794934925
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1542794934925
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1542794934925
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1542794934925
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1542794934925
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1542794934925
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1542794934925
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1542794934925
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1542794934925
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1542794934941
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1542794934941
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1542794934941
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1542794934941
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1542794934941
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1542794934941
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1542794934941
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1542794934941
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1542794934941
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1542794934941
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1542794934941
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1542794934941
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1542794934941
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1542794934941
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1542794934941
started,bundle,com.altera.sbtgui.integration,13.0.0.156,"com.altera.sbtgui.integration",1542794934941
started,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1542794934941
started,bundle,com.altera.systemconsole,13.0.0.156,"com.altera.systemconsole",1542794934941
started,bundle,com.altera.systemconsole.designs.plugin,13.0.0.156,"com.altera.systemconsole.designs.plugin",1542794934941
started,bundle,com.altera.utilities,13.0.0.156,"com.altera.utilities",1542794934941
os,sysinfo,,,"win32",1542794934956
arch,sysinfo,,,"x86",1542794934956
ws,sysinfo,,,"win32",1542794934956
locale,sysinfo,,,"fr_FR",1542794934956
processors,sysinfo,,,"4",1542794934972
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1542794934972
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1542794934972
java.specification.name,sysinfo,,,"Java Platform API Specification",1542794934972
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1542794934972
java.specification.version,sysinfo,,,"1.6",1542794934972
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1542794934972
java.version,sysinfo,,,"1.6.0_23",1542794934972
java.vm.info,sysinfo,,,"mixed mode",1542794934972
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1542794934972
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1542794934972
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1542794934972
java.vm.specification.version,sysinfo,,,"1.0",1542794934972
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1542794934972
java.vm.version,sysinfo,,,"19.0-b09",1542794934972
started,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1542794935846
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1542794936002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542794937640
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1542794938654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542794962849
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1542794965008
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1542794966584
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1542794966740
error,log,,,"The project description file (.project) for 'chip1' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1542794968425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542794968471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542794972247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542794975304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542794976942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1542794976958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1542794976958
error,log,,,"The project description file (.project) for 'chip1_bsp' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1542794979298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542794979313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542794993634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542794996333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542795224190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542795230867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542795248245
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1542795248338
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542795248370
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1542795248557
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1542795248557
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1542795248557
stopped,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1542795248557
stopped,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1542795248557
stopped,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1542795248557
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1542795248557
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1542795248557
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1542795248557
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1542795248557
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1542795248557
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1542795248572
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1542795248572
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1542795248572
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1542795248572
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1542795248572
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1542795248572
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1542795248588
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1542795248588
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1542795248588
