what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1542892334112
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1542892335407
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1542892342598
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1542892343721
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1542892358010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542892359071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542892359726
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1542892365638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542892374592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542892407351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542892440501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542892663828
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1542892665325
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1542892669241
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1542892669241
started,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1542892680239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542892680722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542892714106
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1542892725930
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1542892725962
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1542892729596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542892734682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542892748191
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1542892748737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542892749049
