what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1542893538643
started,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1542893543479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542893543573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542893543620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542893543635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542893555347
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1542893555378
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1542893561103
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1542893561103
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1542893561103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542893561119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542893564519
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1542893572038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542893589323
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1542893598309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542893598886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542893605157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542893618620
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1542893618651
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1542893619259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542893623300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542893625298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542893627996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542893629619
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1542893629697
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542893629743
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1542893629969
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1542893629969
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1542893629969
stopped,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1542893629969
stopped,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1542893629969
stopped,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1542893629969
